App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver
D Day World War II Commando Survival Shooting,Action,4.2,951,64M,"100,000+",Free,0,Teen,"May 25, 2018",1.2,4.1 and up
U + professional baseball,Sports,4.3,2486,18M,"500,000+",Free,0,Everyone,"July 30, 2018",06.11.00,4.4 and up
"ARuler - AR Ruler app, Measure tools",Tools,4.3,1602,5.0M,"100,000+",Free,0,Everyone,"August 3, 2018",1.1.7,7.0 and up
EMT PASS,Medical,3.4,51,2.4M,"1,000+",Paid,$29.99,Everyone,"October 22, 2014",2.0.2,4.0 and up
E-Z App™ Train Control,Tools,4.3,33,46M,"1,000+",Free,0,Everyone,"December 6, 2016",1.0,4.3 and up
Netflix,Entertainment,4.4,5456599,Varies with device,"100,000,000+",Free,0,Teen,"July 31, 2018",Varies with device,Varies with device
"Speed Booster - Ram, Battery & Game Speed Booster",Tools,4.7,85079,2.8M,"1,000,000+",Free,0,Everyone,"July 17, 2018",1.0.4,2.3 and up
CV maker for Job Applications and Resume Maker,Tools,4.2,75,25M,"10,000+",Free,0,Everyone,"January 31, 2018",1.1,4.0 and up
AJ Official,Education,4.6,31,7.3M,500+,Free,0,Everyone,"May 3, 2017",0.1,2.3 and up
PayPal,Finance,4.3,659741,47M,"50,000,000+",Free,0,Everyone,"July 18, 2018",6.28.0,4.4 and up
DRAGON BALL LEGENDS,Action,4.6,337752,48M,"5,000,000+",Free,0,Teen,"August 3, 2018",1.11.0,6.0 and up
Telemundo Deportes - En Vivo,Sports,4.5,36255,25M,"1,000,000+",Free,0,Everyone,"August 1, 2018",5.10.5,4.1 and up
DZ sim,Tools,4.4,417,15M,"10,000+",Free,0,Everyone,"April 26, 2018",3.0,4.2 and up
Advanced Download Manager Pro,Tools,4.7,6505,2.0M,"50,000+",Paid,$2.99,Everyone,"November 3, 2017",6.4.0,4.0 and up
Advanced EX for KIA,Tools,3.3,257,160k,"5,000+",Paid,$4.99,Everyone,"March 14, 2015",1.4,1.6 and up
QR Scanner & Barcode Scanner 2018,Productivity,3.8,8211,4.1M,"5,000,000+",Free,0,Everyone,"July 20, 2018",1.8.4,4.4 and up
BT Remote (SPP) for Bluetooth,Tools,4.1,36,3.1M,"10,000+",Free,0,Everyone,"October 24, 2016",1.16,2.3.3 and up
Call Blocker & Blacklist,Communication,4.0,6,4.2M,"1,000+",Free,0,Everyone,"July 13, 2018",3.1.0,4.0 and up
K-9 Mail,Communication,4.2,88427,5.1M,"5,000,000+",Free,0,Everyone,"January 6, 2018",5.403,4.0.3 and up
Amazon Drive,Productivity,4.4,18669,4.1M,"1,000,000+",Free,0,Everyone,"January 8, 2018",1.9.1.147.0-google,4.2 and up
Learn C# - .Net - C Sharp Programming Tutorial App,Education,4.0,1320,8.6M,"100,000+",Free,0,Everyone,"June 3, 2018",4.1.0,4.1 and up
CF cal,Tools,4.3,123,2.9M,"10,000+",Free,0,Everyone,"February 9, 2016",1.0.6,4.0 and up
Loop - Habit Tracker,Productivity,4.7,17955,3.8M,"1,000,000+",Free,0,Everyone,"May 23, 2018",1.7.9,4.0.3 and up
CT MyChiroTown Mobile,Medical,3.9,40,4.0M,"5,000+",Free,0,Everyone,"July 7, 2015",4.1.0,2.3.3 and up
Ultimate Background Eraser,Photography,4.3,14453,21M,"1,000,000+",Free,0,Everyone,"March 13, 2018",1.9,4.1 and up
Contacts,Communication,4.3,66602,Varies with device,"50,000,000+",Free,0,Everyone,"June 26, 2018",2.8.4.201036949,5.0 and up
TI-Nspire CX Calculator Manual,Education,3.9,11,27M,500+,Paid,$4.99,Everyone,"July 21, 2018",1.3.0,4.1 and up
C Programming Zone,Education,4.6,1218,4.0M,"50,000+",Free,0,Everyone,"May 13, 2017",3.0,4.0.3 and up
Google Drive,Productivity,4.4,2731171,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
DM Tuning,Sports,3.3,64,5.7M,"5,000+",Free,0,Everyone,"April 4, 2018",1.9.1,6.0 and up
AC Remote For LG,Tools,3.0,1298,3.4M,"100,000+",Free,0,Everyone,"February 20, 2018",1.0,4.0 and up
UM BP Track,Medical,2.0,1,29M,50+,Free,0,Everyone,"June 27, 2017",7.9.0 (5192),5.0 and up
ChopAssistant,Tools,4.2,455,2.8M,"50,000+",Free,0,Everyone,"February 28, 2017",1.6,6.0 and up
Bowmasters,Action,4.7,1534466,Varies with device,"50,000,000+",Free,0,Teen,"July 23, 2018",2.12.5,4.1 and up
Mobi Calculator free & AD free!,Tools,4.6,77311,Varies with device,"5,000,000+",Free,0,Everyone,"January 9, 2018",Varies with device,Varies with device
BeautyPlus - Easy Photo Editor & Selfie Camera,Photography,4.4,3158151,53M,"100,000,000+",Free,0,Everyone,"July 31, 2018",6.9.031,4.1 and up
Tubi TV - Free Movies & TV,Entertainment,4.3,296829,11M,"10,000,000+",Free,0,Teen,"July 15, 2018",2.13.5,4.1 and up
"Hole19: Golf GPS App, Rangefinder & Scorecard",Sports,4.4,6106,Varies with device,"100,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Lettre et demande d'emploi,Education,4.6,302,9.9M,"100,000+",Free,0,Everyone,"January 2, 2018",1.0,4.0 and up
Comptia A+ 220-901 & 220-902,Education,4.4,174,5.7M,"10,000+",Free,0,Everyone,"April 19, 2018",2.0.7,4.1 and up
WiFi-o-Matic,Productivity,4.0,736,6.8M,"50,000+",Free,0,Everyone,"February 1, 2018",1.80.03,4.1 and up
Square InPic - Photo Editor & Collage Maker,Photography,4.4,635846,14M,"50,000,000+",Free,0,Everyone,"May 23, 2018",4.2.14,4.0 and up
CR Calculator,Tools,4.3,297,2.8M,"50,000+",Free,0,Everyone,"January 27, 2018",2.2,4.0 and up
EZ Display,Productivity,2.9,280,10.0M,"50,000+",Free,0,Everyone,"November 14, 2014",1.0.0.457,4.0 and up
PicsArt Photo Studio: Collage Maker & Pic Editor,Photography,4.5,7594559,34M,"100,000,000+",Free,0,Teen,"August 6, 2018",9.40.3,4.0.3 and up
PixBox Coloring - Color by number Sandbox,Entertainment,4.5,12293,4.0M,"1,000,000+",Free,0,Everyone,"May 6, 2018",1.2.6,4.0.3 and up
Virtual Eye AI,Tools,4.4,26,3.8M,500+,Free,0,Everyone,"May 27, 2018",1.2,4.0 and up
LOL Pics (Funny Pictures),Entertainment,4.4,67554,7.7M,"1,000,000+",Free,0,Teen,"September 15, 2015",4.0,2.3.3 and up
Assault Line CS Online Fps Go,Action,4.1,52163,70M,"1,000,000+",Free,0,Mature 17+,"July 13, 2016",1.1.2,2.3 and up
TV.AE,Entertainment,3.9,109,7.5M,"10,000+",Free,0,Everyone,"September 21, 2017",1.0.4,4.4 and up
365Scores - Live Scores,Sports,4.6,666521,25M,"10,000,000+",Free,0,Everyone,"July 29, 2018",5.5.9,4.1 and up
Automagic * Automation,Tools,4.7,1947,Varies with device,"10,000+",Paid,$3.90,Everyone,"May 19, 2018",Varies with device,Varies with device
FD Community FCU Mobile,Finance,4.7,175,12M,"1,000+",Free,0,Everyone,"June 12, 2018",5.9.1.0,5.0 and up
Dragon X Adventure: Warrior Z,Action,4.3,8537,29M,"100,000+",Free,0,Everyone 10+,"November 3, 2015",1.1.4,2.3 and up
U-Dictionary: Best English Learning Dictionary,Education,4.5,166886,21M,"10,000,000+",Free,0,Everyone 10+,"July 29, 2018",3.6.2,4.0.3 and up
EZ Receipts,Finance,4.0,2187,Varies with device,"100,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Crackle - Free TV & Movies,Entertainment,3.7,388089,Varies with device,"10,000,000+",Free,0,Teen,"April 12, 2018",Varies with device,Varies with device
R Programming Language,Education,3.8,39,2.9M,"1,000+",Free,0,Everyone,"December 21, 2017",1.0,4.2 and up
500 AP World History Questions,Education,4.7,7,1.2M,100+,Paid,$9.99,Everyone,"November 1, 2013",1.2,1.6 and up
ReadyOp DT,Communication,4.6,8,1.1M,"1,000+",Free,0,Everyone,"July 6, 2018",1.0.56,2.3.3 and up
MDLIVE: Talk to a Doctor 24/7,Medical,3.4,650,27M,"100,000+",Free,0,Everyone,"July 23, 2018",4.23.0,4.4 and up
slither.io,Action,4.4,5235294,Varies with device,"100,000,000+",Free,0,Everyone,"November 14, 2017",Varies with device,2.3 and up
Acorn TV: World-class TV from Britain and Beyond,Entertainment,3.0,493,23M,"50,000+",Free,0,Everyone,"June 15, 2018",2.0.0,4.4 and up
BJ & Jamie,Entertainment,3.9,13,17M,100+,Free,0,Everyone,"July 6, 2015",1.1,2.3.3 and up
DS router,Tools,3.8,253,15M,"50,000+",Free,0,Everyone,"June 13, 2018",1.1.8,4.1 and up
Radiology CT Viewer,Medical,3.6,35,88M,"10,000+",Free,0,Everyone,"January 20, 2018",2,4.0 and up
EasyBib: Citation Generator,Education,3.5,1405,7.3M,"100,000+",Free,0,Everyone,"March 29, 2018",2.4.4,4.0 and up
Downloader & Private Browser,Tools,4.3,1072565,Varies with device,"50,000,000+",Free,0,Everyone,"July 25, 2018",Varies with device,Varies with device
Freedom CU,Finance,3.6,117,25M,"10,000+",Free,0,Everyone,"June 22, 2018",6.5.82-prod,4.2 and up
Lock Screen - DU Locker & Lock screen wallpaper,Tools,4.5,5174,4.7M,"100,000+",Free,0,Everyone,"April 26, 2018",2.0.0,4.0 and up
TFO BZ Lessons,Education,4.4,75,3.7M,500+,Free,0,Everyone,"April 28, 2017",2.1.1,4.1 and up
Cochrane Library,Medical,3.7,3,10.0M,100+,Free,0,Everyone,"July 17, 2018",1.5.0,4.1 and up
Stickman Legends: Shadow Wars,Action,4.4,38419,100M,"1,000,000+",Paid,$0.99,Everyone 10+,"August 3, 2018",2.3.24,4.1 and up
HD Camera - Best Cam with filters & panorama,Photography,4.5,38953,9.7M,"5,000,000+",Free,0,Everyone,"July 26, 2018",2.2.4,4.2 and up
"CallApp: Caller ID, Blocker & Phone Call Recorder",Communication,4.4,483782,20M,"10,000,000+",Free,0,Everyone,"July 29, 2018",1.286,4.1 and up
BD Briight: Your Diabetes Personal Assistant,Medical,4.8,17,37M,"5,000+",Free,0,Everyone,"July 19, 2018",1.5.0,5.0 and up
Permit Test AZ Arizona MVD DOT,Education,4.6,227,11M,"10,000+",Free,0,Everyone,"October 12, 2017",2.9.0,4.1 and up
Phonto - Text on Photos,Photography,4.3,307453,17M,"10,000,000+",Free,0,Everyone,"October 26, 2017",1.7.16,4.0.3 and up
MSN Money- Stock Quotes & News,Finance,4.5,78361,22M,"1,000,000+",Free,0,Everyone,"July 5, 2018",1.2.0,4.2 and up
Chest Tracker for Clash Royale,Tools,4.3,77717,14M,"5,000,000+",Free,0,Everyone,"December 29, 2016",1.2.0,4.1 and up
Lumosity: #1 Brain Games & Cognitive Training App,Education,4.2,215301,Varies with device,"10,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
British Columbia License,Education,3.3,14,11M,"1,000+",Free,0,Everyone,"January 19, 2015",1.2,4.0 and up
Axe Knight,Action,4.5,52,33M,"5,000+",Free,0,Everyone,"June 26, 2018",1.0.5,4.1 and up
FreePrints – Free Photos Delivered,Photography,4.8,109500,37M,"1,000,000+",Free,0,Everyone,"August 2, 2018",2.18.2,4.1 and up
"Cymera Camera- Photo Editor, Filter,Collage,Layout",Photography,4.4,2418135,Varies with device,"100,000,000+",Free,0,Everyone,"July 12, 2018",Varies with device,Varies with device
All Mental disorders,Medical,4.5,453,11M,"100,000+",Free,0,Everyone,"July 7, 2017",1.1,4.0.3 and up
WiFi Tether Router,Communication,4.2,5599,1.3M,"100,000+",Paid,$2.90,Everyone,"July 2, 2018",6.2.7,1.6 and up
ES Material Theme for Pro,Productivity,4.2,14428,1.2M,"1,000,000+",Free,0,Everyone,"December 3, 2015",2.0.3,2.2 and up
Todoist: To-do lists for task management & errands,Productivity,4.5,155999,12M,"10,000,000+",Free,0,Everyone,"August 5, 2018",12.8.2,4.4 and up
B612 - Beauty & Filter Camera,Photography,4.4,5282558,Varies with device,"100,000,000+",Free,0,Everyone,"July 30, 2018",7.6.5,4.3 and up
EZ Wifi Notification,Communication,4.3,260,193k,"10,000+",Free,0,Everyone,"August 11, 2014",1.8,2.2 and up
Cx File Explorer,Tools,4.7,175,4.3M,"10,000+",Free,0,Everyone,"July 28, 2018",1.0.7,5.0 and up
The CW,Entertainment,4.4,288150,21M,"5,000,000+",Free,0,Teen,"July 23, 2018",2.17,4.4 and up
Grenada Co-operative Bank,Finance,4.4,137,400k,"10,000+",Free,0,Everyone,"June 26, 2013",2.4.3,1.6 and up
"App Lock: Locker w/ fingerprint, Parental Control",Tools,4.5,37607,Varies with device,"1,000,000+",Free,0,Everyone,"April 4, 2018",Varies with device,Varies with device
Kiss Me! Lip Kissing Test,Entertainment,3.5,191,5.0M,"50,000+",Free,0,Everyone,"May 18, 2018",5.0,4.1 and up
DEER HUNTER RELOADED,Action,4.3,314774,43M,"5,000,000+",Free,0,Teen,"September 16, 2013",3.8.2,2.1 and up
LC-DB,Photography,3.0,1,2.5M,10+,Paid,$3.49,Everyone,"October 20, 2017",1.0,4.2 and up
HISTORY: Watch TV Show Full Episodes & Specials,Entertainment,4.1,33387,20M,"1,000,000+",Free,0,Teen,"July 16, 2018",3.1.4,4.4 and up
EZ LED,Tools,2.2,19,2.1M,"1,000+",Free,0,Everyone,"September 5, 2017",1.1,4.3 and up
Ray Financial Calculator Pro,Finance,4.0,67,2.4M,"10,000+",Paid,$2.99,Everyone,"July 3, 2017",4,3.2 and up
Cozi Family Organizer,Productivity,4.4,56713,25M,"1,000,000+",Free,0,Everyone,"July 5, 2018",9.3.5776,4.1 and up
BV Mobile Apps,Productivity,5.0,3,4.8M,100+,Free,0,Everyone,"June 5, 2018",2.0,4.2 and up
Google Docs,Productivity,4.3,815974,Varies with device,"100,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
UC Browser - Fast Download Private & Secure,Communication,4.5,17712922,40M,"500,000,000+",Free,0,Teen,"August 2, 2018",12.8.5.1121,4.0 and up
BD Radio TV Free List,Entertainment,4.3,539,13M,"50,000+",Free,0,Everyone,"August 1, 2018",1.3,4.2 and up
Monefy - Money Manager,Finance,4.6,111254,7.4M,"1,000,000+",Free,0,Everyone,"July 3, 2018",1.8.9,4.0 and up
InstaSize Photo Filters & Collage Editor,Photography,4.3,811714,50M,"50,000,000+",Free,0,Everyone,"August 2, 2018",4.0.26,4.4 and up
Gmail,Communication,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
TeachersPayTeachers,Education,3.8,828,Varies with device,"100,000+",Free,0,Everyone,"October 1, 2017",Varies with device,Varies with device
The NBC App - Watch Live TV and Full Episodes,Entertainment,4.1,58104,17M,"5,000,000+",Free,0,Teen,"July 5, 2018",4.18.1,4.1 and up
Top Mercato: football news,Sports,4.3,16016,6.9M,"1,000,000+",Free,0,Everyone,"January 7, 2016",2.7.0,4.2 and up
Brilliant Distinctions®,Medical,2.8,78,72M,"50,000+",Free,0,Everyone,"June 27, 2018",2.2.12,4.4 and up
A+ Mobile,Finance,3.9,730,6.3M,"10,000+",Free,0,Everyone,"June 26, 2018",5.4.4,4.4 and up
Camera FV-5 Lite,Photography,4.0,130063,5.6M,"10,000,000+",Free,0,Everyone,"November 10, 2017",3.31.4,4.0 and up
"VRV: Anime, game videos & more",Entertainment,3.9,15254,Varies with device,"1,000,000+",Free,0,Teen,"June 19, 2018",Varies with device,Varies with device
LINE: Free Calls & Messages,Communication,4.2,10790092,Varies with device,"500,000,000+",Free,0,Everyone,"July 26, 2018",Varies with device,Varies with device
FC Barcelona Fantasy Manager: Real football mobile,Sports,4.4,15221,30M,"1,000,000+",Free,0,Everyone,"October 2, 2017",7.30.005,4.0.3 and up
IHSS Help,Medical,4.7,10,4.3M,"1,000+",Free,0,Everyone,"June 5, 2018",1.0,5.0 and up
DW Missed call cleaner patch,Tools,3.9,65,54k,"5,000+",Free,0,Everyone,"November 27, 2014",1.4,2.0 and up
LINE: Free Calls & Messages,Communication,4.2,10790289,Varies with device,"500,000,000+",Free,0,Everyone,"July 26, 2018",Varies with device,Varies with device
TelaDoc,Medical,4.7,6,13M,"1,000+",Free,0,Everyone,"March 31, 2018",1.3.0,5.0 and up
DK Pittsburgh Sports,Sports,4.1,556,3.3M,"10,000+",Free,0,Everyone,"July 26, 2018",3.0.5,4.2 and up
G-Switch 3,Action,4.6,3656,39M,"100,000+",Free,0,Everyone,"March 15, 2018",1.1.3,3.0 and up
CA DMV,Tools,4.2,5463,6.0M,"1,000,000+",Free,0,Everyone,"August 25, 2017",4.0,4.1 and up
Tinnitus Alleviator,Medical,3.1,82,42M,"5,000+",Free,0,Everyone,"December 23, 2017",1.6.17,4.1 and up
EMT Tutor NREMT-B Study Guide,Medical,4.6,625,8.4M,"10,000+",Paid,$3.99,Everyone,"January 8, 2017",2.1,2.1 and up
Makeup Editor -Beauty Photo Editor & Selfie Camera,Photography,4.5,3378,30M,"1,000,000+",Free,0,Mature 17+,"July 25, 2018",1.7,4.1 and up
Bike Race - Bike Blast Rush,Action,4.4,83891,48M,"10,000,000+",Free,0,Everyone,"July 19, 2018",3.1,4.0 and up
I am rich(premium),Finance,3.5,472,965k,"5,000+",Paid,$399.99,Everyone,"May 1, 2017",3.4,4.4 and up
Digital Clock AW-7,Tools,4.1,484,2.9M,"100,000+",Free,0,Everyone,"March 6, 2018",2.0,4.3 and up
"theScore: Live Sports Scores, News, Stats & Videos",Sports,4.4,133833,34M,"10,000,000+",Free,0,Everyone 10+,"July 25, 2018",6.17.2,4.4 and up
Five Nights at Neighbor House,Action,4.2,2180,55M,"100,000+",Free,0,Everyone 10+,"January 26, 2018",1.1.0,4.2 and up
GollerCepte 1903,Sports,4.7,25172,30M,"500,000+",Free,0,Everyone,"May 23, 2018",5.5,4.1 and up
Squid - Take Notes & Markup PDFs,Productivity,4.2,37204,19M,"1,000,000+",Free,0,Everyone,"July 21, 2018",3.4.4.4-GP,4.0 and up
My CW,Tools,3.0,1,55M,100+,Free,0,Everyone,"October 27, 2016",2.35.1,4.1 and up
The CW,Entertainment,4.4,288209,21M,"5,000,000+",Free,0,Teen,"July 23, 2018",2.17,4.4 and up
free video calls and chat,Communication,4.2,594728,Varies with device,"50,000,000+",Free,0,Everyone,"July 19, 2018",7.3(800241),4.4 and up
Hadith du jour,Education,4.4,276,Varies with device,"50,000+",Free,0,Everyone,"March 22, 2016",Varies with device,Varies with device
Arrowhead AH App,Medical,5.0,3,28M,100+,Free,0,Everyone,"April 21, 2017",300000.0.80,4.0.3 and up
Mental Hospital:EB 2 Lite,Action,4.1,5341,8.8M,"100,000+",Free,0,Teen,"April 30, 2014",1.0,4.0 and up
WeChat,Communication,4.2,5387333,Varies with device,"100,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
Bike 3D Configurator,Sports,4.3,34062,85M,"1,000,000+",Free,0,Everyone,"April 3, 2018",1.6.7,4.4 and up
DCUO|CR Calculator Pro,Tools,4.6,82,1.7M,500+,Paid,$0.99,Everyone,"August 14, 2017",3.3,3.0 and up
Mediatek SmartDevice,Tools,3.6,11187,7.3M,"1,000,000+",Free,0,Everyone,"March 17, 2017",V1.7.6,4.0 and up
Bomb and Nade Timer for CS:GO,Productivity,2.6,85,6.0M,"5,000+",Free,0,Everyone,"April 21, 2016",1.1.2,4.0 and up
Little Magnet BT,Tools,4.6,3703,3.8M,"100,000+",Free,0,Everyone,"August 5, 2018",4.1.4,4.2 and up
SHAREit - Transfer & Share,Tools,4.6,7790693,17M,"500,000,000+",Free,0,Everyone,"July 30, 2018",4.5.28_ww,4.1 and up
Google Classroom,Education,4.2,69493,Varies with device,"10,000,000+",Free,0,Everyone,"July 19, 2018",Varies with device,Varies with device
FD Shift Calendar Widget,Tools,4.1,981,73k,"100,000+",Free,0,Everyone,"March 16, 2011",1.2.4,1.6 and up
Open Camera,Photography,4.3,116880,2.0M,"10,000,000+",Free,0,Everyone,"April 23, 2018",1.43.3,4.0.3 and up
EF Parеnts,Education,4.1,435,17M,"50,000+",Free,0,Everyone,"June 21, 2018",3.1.0,4.1 and up
Screen Off and Lock,Tools,4.1,172990,525k,"10,000,000+",Free,0,Everyone,"December 2, 2017",1.17.4,2.2 and up
iTranslate Translator & Dictionary,Productivity,4.3,201718,35M,"10,000,000+",Free,0,Everyone,"July 11, 2018",4.6.15,4.1 and up
CCHT PREP,Medical,3.6,25,266k,"1,000+",Paid,$10.99,Everyone,"December 8, 2016",1.2,2.1 and up
NARUTO X BORUTO NINJA VOLTAGE,Action,4.4,267395,71M,"5,000,000+",Free,0,Everyone 10+,"July 19, 2018",1.1.7,4.4 and up
"K-Spapp, the K-Space app",Education,4.8,39,3.6M,"1,000+",Free,0,Everyone,"February 9, 2017",1.53,4.0.3 and up
American Sniper City Fight Shooting Assassin,Action,4.1,395,54M,"50,000+",Free,0,Teen,"November 24, 2017",1.4,2.3 and up
AppFinder by AppTap,Tools,2.0,2221,4.9M,"5,000,000+",Free,0,Everyone,"October 3, 2017",1.8.2.7,5.0 and up
iReadMe,Productivity,5.0,8,22M,100+,Free,0,Everyone,"March 6, 2018",1.5,4.4 and up
Micro Fi,Education,3.7,39,2.8M,"5,000+",Free,0,Everyone,"February 12, 2014",2.4,2.3.3 and up
OpenGL ES CapsViewer,Tools,4.6,78,375k,"10,000+",Free,0,Everyone,"April 1, 2018",0.6,4.3 and up
Super Hearing Super Ear Amplifier,Medical,4.1,21,20M,"1,000+",Free,0,Everyone,"June 11, 2018",1.1,4.1 and up
Learn C [NEW],Education,4.5,349,11M,"50,000+",Free,0,Everyone,"March 16, 2018",2.1.1,4.0 and up
U.S. Bank,Finance,4.1,70782,50M,"1,000,000+",Free,0,Everyone,"July 25, 2018",2.34.29,4.0.3 and up
Deportivo Toluca FC,Sports,4.7,2317,5.9M,"50,000+",Free,0,Everyone,"July 26, 2018",2.0.20,5.0 and up
Elif Ba Oyunu,Tools,3.7,26,2.2M,"5,000+",Free,0,Everyone,"November 2, 2015",1.1,2.3 and up
Learn C++,Education,4.6,73404,5.3M,"1,000,000+",Free,0,Everyone,"December 25, 2017",4.5.2,4.0 and up
DNS Changer - BEST (Gprs/Edge/3G/H/H+/4G),Tools,4.3,123,1.9M,"5,000+",Free,0,Everyone,"September 30, 2017",1.2,4.0 and up
Top Soccer Manager,Sports,4.4,199739,66M,"10,000,000+",Free,0,Everyone,"August 6, 2018",1.18.8,4.0.3 and up
Open Sesame - Touch Free Control,Medical,4.4,197,20M,"10,000+",Free,0,Everyone,"August 2, 2018",3.5.7,7.0 and up
Battery Calibration,Tools,4.4,134412,11M,"5,000,000+",Free,0,Everyone,"July 27, 2018",3.0.5,4.4 and up
Florida DMV Permit Test -Fl,Education,4.3,87,30M,"10,000+",Free,0,Everyone,"February 15, 2018",6.0.3,4.4 and up
U-Scan,Tools,3.4,784,42M,"50,000+",Free,0,Everyone,"September 29, 2016",1.2.6 (94),2.2 and up
Talking Ben the Dog,Entertainment,4.3,1633565,57M,"100,000,000+",Free,0,Everyone,"July 3, 2018",3.5.2.2,4.1 and up
Web Browser for Android,Communication,4.1,55110,4.3M,"1,000,000+",Free,0,Everyone,"June 20, 2018",2.2,4.0 and up
"Video Editor Music,Cut,No Crop",Photography,4.7,2163282,Varies with device,"50,000,000+",Free,0,Everyone,"July 10, 2018",Varies with device,Varies with device
"End Anxiety Pro - Stress, Panic Attack Help",Medical,4.2,33,53M,"1,000+",Paid,$3.99,Everyone,"May 8, 2018",2.29,4.2 and up
"theScore: Live Sports Scores, News, Stats & Videos",Sports,4.4,133833,34M,"10,000,000+",Free,0,Everyone 10+,"July 25, 2018",6.17.2,4.4 and up
DP Maker,Photography,4.2,784,18M,"100,000+",Free,0,Everyone,"April 29, 2018",1.00.15,4.1 and up
Ap Video Downloader for fb New 2018,Tools,4.2,676,5.4M,"100,000+",Free,0,Everyone,"July 31, 2018",3.0.188,4.0.3 and up
Planner Pro-Personal Organizer,Productivity,4.0,10270,8.4M,"1,000,000+",Free,0,Everyone,"March 23, 2018",4.4.1,4.0 and up
Reindeer VPN - Proxy VPN,Tools,4.2,7339,4.0M,"100,000+",Free,0,Everyone,"May 10, 2018",1.74,4.1 and up
Control Center iOS 11 - Phone X notifications,Tools,4.3,514,8.4M,"50,000+",Free,0,Everyone,"February 12, 2018",1.8,4.4 and up
"CL Reader for Craigslist(For sale, jobs, rental..)",Tools,4.1,61,6.3M,"1,000+",Free,0,Everyone,"September 14, 2017",1.9,4.1 and up
